Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
307.jpg,malignant,2759.1796875,3552.0,2463.33984375,2974.0000000000005,0.9575680545089656,0.945375695875496,0.9621176168955494,0.9542644480669271,10.8203125,13.929411764705883,9.66015625,11.662745098039217,0.2845621041890276,0.2978740493221884,0.2782527899716085,0.28561012926111223,0.8885134187234177,0.8794618310971101,0.8917473216571975,0.8874586186574502,0.9426098974249197,0.9377962631068169,0.9443237377389163,0.9420502208786166,0.4011305861911427,0.20714691786400335,0.47241759690447227,0.3361641142250974
893.jpg,malignant,473.14453125,752.0,398.4375,753.0,0.9927237638598407,0.9884353950727401,0.9938726432503922,0.9884200166087411,1.85546875,2.949019607843137,1.5625,2.952941176470588,0.06897407987308862,0.07159647666925394,0.06711048735699815,0.07167553221275516,0.9794324029660691,0.9769798499113329,0.9800673048114007,0.9769496278381085,0.9896627723452415,0.9884229104544942,0.9899834871407708,0.9884076223087863,0.4547180660892502,0.002099275477724554,0.557354330975619,0.0020810670588573034
887.jpg,malignant,231.09375,456.0,387.48046875,466.0,0.9964461330852276,0.9929874204164488,0.9940411455610064,0.9928336357764586,0.90625,1.788235294117647,1.51953125,1.8274509803921568,0.04477725177477194,0.048663693014581635,0.04718265305970022,0.048865855867098455,0.9875222838158701,0.9856209006059096,0.9865225911974587,0.9854692941717474,0.9937415578589185,0.9927844179910912,0.9932384362263971,0.9927080608979396,0.6023105907608406,0.05433179784054662,0.21115060185524953,0.033593460073891954
139.jpg,malignant,775.95703125,1352.0,980.15625,1239.0,0.9880669727301388,0.9792083166733307,0.9849267023959647,0.9809460831052195,3.04296875,5.301960784313726,3.84375,4.858823529411764,0.11745906033591066,0.12922842990056033,0.12336538729028942,0.12655677086179207,0.9614777072435706,0.9553671102455049,0.959152752246732,0.957020658277559,0.9805496964680427,0.9774288261789218,0.9793634423679148,0.9782743266985795,0.5535896543863058,0.14341709561515156,0.42026959704843936,0.21549501147187722
1320.jpg,malignant,694.27734375,1229.0,844.6875000000001,1149.0,0.9893230808638084,0.9810998677452096,0.9870100036908314,0.9823301448651309,2.72265625,4.819607843137255,3.3125000000000004,4.5058823529411764,0.10273828849464042,0.11010854795509911,0.10594038245126325,0.10896235876514279,0.9671570996347183,0.9620110398493702,0.965842524509804,0.9631661903910911,0.983441457146646,0.980821614693197,0.9827728753429268,0.9814103068498369,0.5207732960273682,0.028044170969000266,0.39116136588881883,0.09271909126776919
1339.jpg,malignant,909.4335937500001,1460.0,896.484375,1417.0,0.9860143082190203,0.977547442561437,0.9862134473133823,0.9782087165133947,3.5664062500000004,5.725490196078431,3.515625,5.55686274509804,0.12415155464014802,0.13130436745883975,0.12194508935564768,0.13060140200710238,0.958912051155768,0.9537780360406143,0.9597761570256933,0.9543950613145123,0.9792405481574832,0.9766156030089905,0.9796816610642936,0.9769314516968488,0.48765157049805813,0.07499183402227905,0.4822291129477461,0.10278969431448758
1113.jpg,malignant,650.44921875,1029.0,454.21875,1025.0,0.9899970901062651,0.9841755605450128,0.993014813305447,0.9842370744010089,2.55078125,4.035294117647059,1.78125,4.019607843137255,0.08863865859657408,0.09246526148549972,0.08290343094781485,0.09263985974920344,0.9723799499957574,0.9686959950487798,0.9743389791674176,0.968725297474532,0.9860932765188887,0.9842235493264626,0.9870861052448351,0.9842384352759914,0.4353989461213171,-0.006035705280259739,0.6269440430852682,-0.00020025577124204368
322.jpg,malignant,1131.5625000000002,1609.0,838.7109375,1614.0,0.9825983068311137,0.9752560514255836,0.9871019140420755,0.9751791591055885,4.437500000000001,6.309803921568627,3.2890625,6.329411764705882,0.13826814380722086,0.14204693378649927,0.12892692595972693,0.14217485377099248,0.9532082312091504,0.9491827004696534,0.956921972430976,0.9490946556650718,0.9763238352151147,0.9742600784542357,0.9782238866593761,0.9742148919335363,0.41393008554945565,0.07273392534096806,0.5749608519341678,0.07037367399145403
450.jpg,malignant,2943.45703125,4622.0,3416.6015625,3443.0,0.954734152012272,0.9289207393965491,0.9474579158721127,0.9470519484513886,11.54296875,18.12549019607843,13.3984375,13.501960784313725,0.31248404365269444,0.3408280184113003,0.32559738612104283,0.32020988080869317,0.8753081178353502,0.8547420357798681,0.8683091102843558,0.8706387972212504,0.9355790281079147,0.9245225988475717,0.9318310524361998,0.9330802737284989,0.44440775024264556,0.10286091993319775,0.3585192035732906,0.3315880664447653
256.jpg,malignant,8390.09765625,9359.0,5002.3828125,9635.0,0.8709731852451327,0.8560729554332113,0.9230710360086735,0.8518284993694829,32.90234375,36.70196078431373,19.6171875,37.78431372549019,0.7004312317889888,0.7159515143008998,0.6174465229448696,0.7203886445169385,0.6649199023277932,0.6551057546405494,0.7064366948334174,0.6521010708772732,0.8154262090022574,0.8093860356100477,0.8404978850856303,0.8075277523882837,0.4206153764329415,0.3507359424008855,0.6543263933131331,0.3315889309790076
257.jpg,malignant,963.22265625,1345.0,775.95703125,1305.0,0.985187115057823,0.9793159659213239,0.9880669727301388,0.9799311044812845,3.77734375,5.2745098039215685,3.04296875,5.117647058823529,0.12185841792663514,0.1257950859333311,0.1137707211096764,0.12496417168721667,0.9597484932693782,0.9564758783663634,0.9629393783856793,0.9570659569168751,0.9796675422148976,0.9779958478267499,0.9812947459278886,0.9782974787440041,0.4226667963108976,0.111023844070277,0.5277681282627881,0.13746179666298253
519.jpg,malignant,723.1640625,1573.0,944.2968750000001,1577.0,0.9888788474994618,0.9758096761295482,0.9854781645034294,0.9757481622735521,2.8359375,6.1686274509803924,3.7031250000000004,6.184313725490195,0.11697529901777663,0.1319237024725599,0.12534020514359637,0.13191332673089326,0.9615706708732821,0.9522563162868333,0.9584358686412678,0.95219778144064,0.9805970991560612,0.9758362138631838,0.9789973792821245,0.9758062212553474,0.5945811665728197,-0.0021757355775699036,0.46713834497041756,-0.004724179914702954
